cycle,same_day,conveyor,induct_type,packages,truck_id,trucks,volume,volume_m3,cube,cuft,route_id,dsp,delivery_service_provider,tote_id,totes,tote_count,state,county,city,zip_code,road,address,lon,lat,stop_id,stop_seq
1,true,true,conveyor,21,TRK-01,1,7.3,0.2,7.3,7.3,R-MSP-01,North Loop DSP,North Loop DSP,T-1000,1,1,Minnesota,Hennepin,Minneapolis,55403,Hennepin Ave,"100 Hennepin Ave, Minneapolis, MN 55403",-93.287385,44.97665,MSP-001,1
1,false,true,conveyor,9,TRK-02,1,4.0,0.11,4.0,4.0,R-MSP-02,Lakes DSP,Lakes DSP,T-1001,1,1,Minnesota,Hennepin,Minneapolis,55402,Nicollet Mall,"118 Nicollet Mall, Minneapolis, MN 55402",-93.276484,44.974115,MSP-002,2
1,false,true,conveyor,18,TRK-03,1,7.5,0.21,7.5,7.5,R-MSP-03,Midtown DSP,Midtown DSP,T-1002,1,1,Minnesota,Hennepin,Minneapolis,55401,1st Ave S,"134 1st Ave S, Minneapolis, MN 55401",-93.270546,44.972762,MSP-003,3
2,false,false,non_conveyor,30,TRK-04,1,10.2,0.29,10.2,10.2,R-MSP-04,Northeast DSP,Northeast DSP,T-1003,1,1,Minnesota,Hennepin,Minneapolis,55401,3rd Ave S,"152 3rd Ave S, Minneapolis, MN 55401",-93.267288,44.972993,MSP-004,4
same-day,true,true,conveyor,4,TRK-05,1,1.9,0.05,1.9,1.9,R-MSP-05,Uptown DSP,Uptown DSP,T-1004,1,1,Minnesota,Hennepin,Minneapolis,55404,Park Ave,"168 Park Ave, Minneapolis, MN 55404",-93.264686,44.970857,MSP-005,5
1,false,true,conveyor,21,TRK-06,1,6.8,0.19,6.8,6.8,R-MSP-06,North Loop DSP,North Loop DSP,T-1005,1,1,Minnesota,Hennepin,Minneapolis,55404,Chicago Ave,"186 Chicago Ave, Minneapolis, MN 55404",-93.265523,44.962036,MSP-006,6
1,false,true,conveyor,9,TRK-07,1,3.4,0.1,3.4,3.4,R-MSP-07,Lakes DSP,Lakes DSP,T-1006,1,1,Minnesota,Hennepin,Minneapolis,55404,Franklin Ave,"202 Franklin Ave, Minneapolis, MN 55404",-93.243342,44.96192,MSP-007,7
1,false,false,non_conveyor,20,TRK-08,1,10.0,0.28,10.0,10.0,R-MSP-08,Midtown DSP,Midtown DSP,T-1007,1,1,Minnesota,Hennepin,Minneapolis,55408,Lake St,"220 Lake St, Minneapolis, MN 55408",-93.248628,44.947464,MSP-008,8
2,false,true,conveyor,28,TRK-09,1,8.4,0.24,8.4,8.4,R-MSP-09,Northeast DSP,Northeast DSP,T-1008,1,1,Minnesota,Hennepin,Minneapolis,55408,Lyndale Ave S,"236 Lyndale Ave S, Minneapolis, MN 55408",-93.286562,44.948817,MSP-009,9
same-day,true,true,conveyor,27,TRK-10,1,11.8,0.33,11.8,11.8,R-MSP-10,Uptown DSP,Uptown DSP,T-1009,1,1,Minnesota,Hennepin,Minneapolis,55409,Bryant Ave S,"254 Bryant Ave S, Minneapolis, MN 55409",-93.291955,44.935272,MSP-010,10
1,false,true,conveyor,18,TRK-11,1,8.8,0.25,8.8,8.8,R-MSP-11,North Loop DSP,North Loop DSP,T-1010,1,1,Minnesota,Hennepin,Minneapolis,55409,Nicollet Ave,"270 Nicollet Ave, Minneapolis, MN 55409",-93.276163,44.932075,MSP-011,11
